;; Symbol-to-symbol Distance Function.
* on symbols as defined in pcode: 'pcdsrip1.txt'
;; symbol-symbol distances generated by WOD2
;; using lower codesets:
;;   pcdsrif.txt
* written in external format: 'NIST1'
;; time/date of run: Wed Jan 31 09:30:55 1990
* function is symmetric
* default value = 6
;; (no. of different ppf values = 17)
;; i sym   j sym  fval[i][j]
      *    iy+1       9
      *      iy       8
      *    ih+1       8
      *      ih       7
      *    ey+1       8
      *      ey       7
      *    eh+1       7
      *    ae+1       8
      *      ae       7
      *    aa+1       7
      *    ao+1       8
      *      ao       7
      *    ow+1       9
      *      ow       8
      *    uh+1       9
      *      uh       8
      *    uw+1      10
      *      uw       9
      *    ay+1       9
      *      ay       8
      *    oy+1      10
      *      oy       9
      *    aw+1      10
      *      aw       9
      *      er       5
      *   axr+1       7
      *      ah       5
      *    ax+1       7
      *    ux+1      10
      *      ux       9
      *     axd       5
      *    ix+1       8
      *      ix       7
      *      wh       4
      *       w       5
      *       y       5
      *       r       5
      *      el       7
      *      em       7
      *      en       7
      *     eng       7
      *     bcl       5
      *     dcl       5
      *     gcl       5
      *     kcl       4
      *     pcl       4
      *     tcl       4
      *       p       4
      *       b       5
      *       t       4
      *       d       5
      *       k       4
      *       g       5
      *      jh       7
      *      dx       4
      *      nx       5
      *       f       3
      *       v       4
      *      th       3
      *      dh       4
      *       s       3
      *       z       4
      *      sh       3
      *      zh       4
      *       q       3
      *      hh       4
      *      hv       5
   iy+1      iy       1
   iy+1    ih+1       3
   iy+1      ih       4
   iy+1    ey+1       1
   iy+1      ey       2
   iy+1    eh+1       4
   iy+1      eh       5
   iy+1    ae+1       5
   iy+1      aa       7
   iy+1    ao+1       5
   iy+1      ow       7
   iy+1      uh       7
   iy+1    uw+1       5
   iy+1    ay+1       4
   iy+1      ay       5
   iy+1    oy+1       5
   iy+1    aw+1       5
   iy+1    er+1       5
   iy+1     axr       7
   iy+1    ah+1       5
   iy+1      ax       7
   iy+1    ux+1       3
   iy+1      ux       4
   iy+1   axd+1       7
   iy+1     axd       8
   iy+1    ix+1       5
   iy+1      wh      11
   iy+1       w      10
   iy+1       y      10
   iy+1       r       8
   iy+1       l      11
   iy+1      el      10
   iy+1      em      10
   iy+1      en      10
   iy+1     eng      10
   iy+1       m      11
   iy+1       n      11
   iy+1      ng      11
   iy+1     bcl      12
   iy+1     dcl      12
   iy+1     gcl      12
   iy+1     kcl      13
   iy+1     pcl      13
   iy+1     tcl      13
   iy+1       p      13
   iy+1       b      12
   iy+1       t      13
   iy+1       d      12
   iy+1       k      13
   iy+1       g      12
   iy+1      ch      15
   iy+1      jh      14
   iy+1      dx      11
   iy+1      nx      12
   iy+1       f      12
   iy+1       v      11
   iy+1      th      12
   iy+1      dh      11
   iy+1       s      12
   iy+1       z      11
   iy+1      sh      12
   iy+1      zh      11
   iy+1       q      12
   iy+1      hh      13
   iy+1      hv      12
     iy    ih+1       4
     iy      ih       3
     iy    ey+1       2
     iy      ey       1
     iy    eh+1       5
     iy      eh       4
     iy      ae       5
     iy    aa+1       7
     iy      ao       5
     iy    ow+1       7
     iy    uh+1       7
     iy      uw       5
     iy    ay+1       5
     iy      ay       4
     iy      oy       5
     iy      aw       5
     iy      er       5
     iy   axr+1       7
     iy      ah       5
     iy    ax+1       7
     iy    ux+1       4
     iy      ux       3
     iy   axd+1       8
     iy     axd       7
     iy      ix       5
     iy      wh      10
     iy       w       9
     iy       y       9
     iy       r       7
     iy       l      10
     iy      el       9
     iy      em       9
     iy      en       9
     iy     eng       9
     iy       m      10
     iy       n      10
     iy      ng      10
     iy     bcl      11
     iy     dcl      11
     iy     gcl      11
     iy     kcl      12
     iy     pcl      12
     iy     tcl      12
     iy       p      12
     iy       b      11
     iy       t      12
     iy       d      11
     iy       k      12
     iy       g      11
     iy      ch      14
     iy      jh      13
     iy      dx      10
     iy      nx      11
     iy       f      11
     iy       v      10
     iy      th      11
     iy      dh      10
     iy       s      11
     iy       z      10
     iy      sh      11
     iy      zh      10
     iy       q      11
     iy      hh      12
     iy      hv      11
   ih+1      ih       1
   ih+1    ey+1       4
   ih+1      ey       5
   ih+1    eh+1       1
   ih+1      eh       2
   ih+1    ae+1       2
   ih+1      ae       3
   ih+1    aa+1       5
   ih+1      ao       7
   ih+1    ow+1       7
   ih+1      ow       8
   ih+1    uh+1       3
   ih+1      uh       4
   ih+1      uw       7
   ih+1    ay+1       7
   ih+1      ay       8
   ih+1    oy+1       8
   ih+1      oy       9
   ih+1      aw       7
   ih+1    er+1       2
   ih+1      er       3
   ih+1   axr+1       3
   ih+1     axr       4
   ih+1    ah+1       2
   ih+1      ah       3
   ih+1    ax+1       3
   ih+1      ax       4
   ih+1    ux+1       4
   ih+1      ux       5
   ih+1   axd+1       4
   ih+1     axd       5
   ih+1    ix+1       2
   ih+1      ix       3
   ih+1      wh      10
   ih+1       w       9
   ih+1       y       9
   ih+1       r       7
   ih+1       l      10
   ih+1      el       9
   ih+1      em       9
   ih+1      en       9
   ih+1     eng       9
   ih+1       m      10
   ih+1       n      10
   ih+1      ng      10
   ih+1     bcl      11
   ih+1     dcl      11
   ih+1     gcl      11
   ih+1     kcl      12
   ih+1     pcl      12
   ih+1     tcl      12
   ih+1       p      12
   ih+1       b      11
   ih+1       t      12
   ih+1       d      11
   ih+1       k      12
   ih+1       g      11
   ih+1      ch      14
   ih+1      jh      13
   ih+1      dx      10
   ih+1      nx      11
   ih+1       f      11
   ih+1       v      10
   ih+1      th      11
   ih+1      dh      10
   ih+1       s      11
   ih+1       z      10
   ih+1      sh      11
